DateTime,1084882
2020-01-01,3.3571897
2019-11-22,2.960061
2019-04-21,
2020-02-25,
2019-05-01,
2020-02-15,3.514916
2016-03-19,
2020-03-26,
2019-03-27,
2016-05-21,
2018-02-25,3.5437572
2019-01-16,1.9882464
2018-12-27,4.6371717
2016-02-18,
2016-02-01,4.8808613
2017-12-22,2.1879272
2018-08-29,
2018-11-02,
2019-04-11,
2018-04-06,
2018-02-10,2.9361138
2020-03-01,3.4821184
2019-05-11,
2019-11-07,
2017-06-05,3.9226227
2019-02-15,4.123224
2016-04-18,
2019-12-17,3.1920724
2018-12-12,3.3277628
2019-11-02,8.40439
2018-09-28,
2019-03-07,
2016-04-01,
2018-03-07,
2019-01-06,2.500523
2020-03-31,
2019-02-05,4.5279846
2019-11-27,
2018-05-01,
2020-03-11,
2018-11-17,4.230296
2019-01-21,5.0337205
2018-01-16,5.593943
2018-11-07,3.681371
2018-10-08,
2018-11-22,4.8791676
2019-10-18,
2018-12-22,4.4162574
2018-07-15,
2015-12-20,
2019-12-02,4.9211416
2018-12-17,4.8276353
2018-12-02,3.765776
2018-01-31,2.776634
2020-03-06,4.8661456
2017-07-10,
2020-03-21,
2019-05-21,
2019-03-17,
2018-08-04,1.5338255
2018-01-06,1.9226147
2019-04-06,
2019-03-22,
2016-10-08,
2019-05-31,
2019-02-20,4.884655
2016-01-02,2.403864
2017-09-28,14.123943
2019-12-27,4.718869
2020-04-05,
2019-02-25,5.1358013
2019-08-24,
2018-01-26,2.868407
2019-04-16,
2018-03-27,
2019-07-05,2.416327
2019-04-26,
2016-09-18,
2019-06-05,4.8180814
2020-02-10,1.4948368
2018-01-11,3.4654047
2019-09-18,
2019-09-28,
2019-06-10,
2018-10-23,
2019-01-31,2.650549
2019-07-30,
2018-02-20,0.9279622
2018-03-02,
2018-10-18,
2017-10-18,
2019-06-25,3.356164
2018-05-11,6.859234
2016-01-19,
2019-01-26,3.19899
2019-01-11,2.9835103
2018-02-15,2.7762294
2017-12-02,4.698664
2019-03-12,4.0450006
2019-02-10,1.9059079
2019-01-01,3.3587303
2020-03-16,
2018-12-07,4.6414795
2017-07-15,
2020-01-16,2.5103455
2020-01-31,1.8291115
2020-02-20,3.4469388
2019-10-23,
2020-02-05,3.1715791
2018-08-19,
2020-01-06,2.1936402
2019-08-09,
2019-10-28,
2019-07-20,2.0261662
2019-03-02,3.653051
2018-09-13,
2017-12-27,2.8689113
2018-02-05,
2018-03-22,
2020-01-11,3.2926579
2017-11-07,
2017-12-17,3.5251708
